date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:52:34	14258/14258	---M--	200	added ('OK')	image/jpeg	etag:%22621f6b5d-37b2%22	https://mironmahmud.com/greeny/assets/ltr/images/offer/01.jpg	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/images/offer/01.jpg	(from https://mironmahmud.com/greeny/assets/ltr/offer.html)
13:52:34	350952/350952	---M--	200	added ('OK')	image/jpeg	etag:%22621f6b5d-55ae8%22	https://mironmahmud.com/greeny/assets/ltr/images/single-banner.jpg	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/images/single-banner.jpg	(from https://mironmahmud.com/greeny/assets/ltr/offer.html)
13:52:35	13565/13565	---M--	200	added ('OK')	image/jpeg	etag:%22621f6b5d-34fd%22	https://mironmahmud.com/greeny/assets/ltr/images/offer/02.jpg	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/images/offer/02.jpg	(from https://mironmahmud.com/greeny/assets/ltr/offer.html)
13:52:35	13949/13949	---M--	200	added ('OK')	image/jpeg	etag:%22621f6b5d-367d%22	https://mironmahmud.com/greeny/assets/ltr/images/offer/03.jpg	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/images/offer/03.jpg	(from https://mironmahmud.com/greeny/assets/ltr/offer.html)
13:52:35	14504/14504	---M--	200	added ('OK')	image/jpeg	etag:%22621f6b5d-38a8%22	https://mironmahmud.com/greeny/assets/ltr/images/offer/04.jpg	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/images/offer/04.jpg	(from https://mironmahmud.com/greeny/assets/ltr/offer.html)
13:52:35	13060/13060	---M--	200	added ('OK')	image/jpeg	etag:%22621f6b5d-3304%22	https://mironmahmud.com/greeny/assets/ltr/images/offer/05.jpg	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/images/offer/05.jpg	(from https://mironmahmud.com/greeny/assets/ltr/offer.html)
13:52:36	9351/9351	---M--	200	added ('OK')	image/jpeg	etag:%22621f6b5d-2487%22	https://mironmahmud.com/greeny/assets/ltr/images/offer/06.jpg	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/images/offer/06.jpg	(from https://mironmahmud.com/greeny/assets/ltr/offer.html)
13:52:36	10332/10332	---M--	200	added ('OK')	image/jpeg	etag:%22621f6b5d-285c%22	https://mironmahmud.com/greeny/assets/ltr/images/offer/07.jpg	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/images/offer/07.jpg	(from https://mironmahmud.com/greeny/assets/ltr/offer.html)
13:52:36	10626/10626	---M--	200	added ('OK')	image/jpeg	etag:%22621f6b5d-2982%22	https://mironmahmud.com/greeny/assets/ltr/images/offer/08.jpg	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/images/offer/08.jpg	(from https://mironmahmud.com/greeny/assets/ltr/offer.html)
13:52:37	12687/12687	---M--	200	added ('OK')	image/jpeg	etag:%22621f6b5d-318f%22	https://mironmahmud.com/greeny/assets/ltr/images/offer/09.jpg	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/images/offer/09.jpg	(from https://mironmahmud.com/greeny/assets/ltr/offer.html)
13:52:37	9813/9813	---M--	200	added ('OK')	image/jpeg	etag:%22621f6b5d-2655%22	https://mironmahmud.com/greeny/assets/ltr/images/offer/10.jpg	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/images/offer/10.jpg	(from https://mironmahmud.com/greeny/assets/ltr/offer.html)
13:52:38	735/735	---M-Z	200	added ('OK')	text/css	etag:W/%22621f6b5d-2df%22	https://mironmahmud.com/greeny/assets/ltr/css/faq.css	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/css/faq.css	(from https://mironmahmud.com/greeny/assets/ltr/faq.html)
13:52:38	157253/157253	---M--	200	added ('OK')	image/jpeg	etag:%22621f6b5d-26645%22	https://mironmahmud.com/greeny/assets/ltr/images/offer/11.jpg	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/images/offer/11.jpg	(from https://mironmahmud.com/greeny/assets/ltr/offer.html)
13:52:38	525/525	---M-Z	200	added ('OK')	text/css	etag:W/%22621f6b5d-20d%22	https://mironmahmud.com/greeny/assets/ltr/css/contact.css	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/css/contact.css	(from https://mironmahmud.com/greeny/assets/ltr/contact.html)
13:52:39	32342/32342	---M--	200	added ('OK')	image/jpeg	etag:%22621f6b5d-7e56%22	https://mironmahmud.com/greeny/assets/ltr/images/branch/01.jpg	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/images/branch/01.jpg	(from https://mironmahmud.com/greeny/assets/ltr/contact.html)
13:52:39	30706/30706	---M--	200	added ('OK')	image/jpeg	etag:%22621f6b5d-77f2%22	https://mironmahmud.com/greeny/assets/ltr/images/branch/02.jpg	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/images/branch/02.jpg	(from https://mironmahmud.com/greeny/assets/ltr/contact.html)
13:52:39	31316/31316	---M--	200	added ('OK')	image/jpeg	etag:%22621f6b5d-7a54%22	https://mironmahmud.com/greeny/assets/ltr/images/branch/03.jpg	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/images/branch/03.jpg	(from https://mironmahmud.com/greeny/assets/ltr/contact.html)
13:52:39	2695/2695	---M-Z	200	added ('OK')	text/css	etag:W/%22621f6b5d-a87%22	https://mironmahmud.com/greeny/assets/ltr/css/index.css	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/css/index.css	(from https://mironmahmud.com/greeny/assets/ltr/index.html)
13:52:40	37392/37392	---M--	200	added ('OK')	image/jpeg	etag:%22621f6b5d-9210%22	https://mironmahmud.com/greeny/assets/ltr/images/branch/04.jpg	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/images/branch/04.jpg	(from https://mironmahmud.com/greeny/assets/ltr/contact.html)
13:52:41	3046/3046	---M-Z	200	added ('OK')	text/css	etag:W/%22621f6b5d-be6%22	https://mironmahmud.com/greeny/assets/ltr/css/user-auth.css	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/css/user-auth.css	(from https://mironmahmud.com/greeny/assets/ltr/login.html)
13:52:41	69/69	---M--	200	added ('OK')	text/css	etag:%22621f6b5d-45%22	https://mironmahmud.com/greeny/assets/ltr/css/compare.css	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/css/compare.css	(from https://mironmahmud.com/greeny/assets/ltr/compare.html)
13:52:42	70/70	---M--	200	added ('OK')	text/css	etag:%22621f6b5d-46%22	https://mironmahmud.com/greeny/assets/ltr/css/wishlist.css	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/css/wishlist.css	(from https://mironmahmud.com/greeny/assets/ltr/wishlist.html)
